netcard_mini	netcard_mini_value	netcard	netcard_value	tate_pairing_mini	tate_pairing_mini_value	tate_pairing	tate_pairing_value	jpeg_mini	jpeg_mini_value	jpeg	jpeg_value	ariane_mini	ariane_mini_value	ariane	ariane_value	nova_mini	nova_mini_value	nova	nova_value
M3P130_M5P125_M3C100_M5C50	36.84	M3P130_M5P125_M3C100_M5C50	372.82	M3P130_M5P125_M3C100_M5C150	30.6	M3P130_M5P125_M3C100_M5C150	293.17	M3P130_M5P75_M3C100_M5C50	8.13	M3P130_M5P75_M3C100_M5C50	84.93	M3P130_M5P125_M3C100_M5C100	32.51	M3P130_M5P125_M3C100_M5C100	339.71	M3P130_M5P75_M3C50_M5C50	6.82	M3P85_M5P125_M3C100_M5C50	65.6
M3P100_M5P100_M3C100_M5C50	36.85	M3P100_M5P100_M3C100_M5C50	374.23	M3P100_M5P75_M3C100_M5C100	30.63	M3P100_M5P75_M3C100_M5C100	294.04	M3P100_M5P75_M3C100_M5C50	8.13	M3P100_M5P75_M3C100_M5C50	83.54	M3P130_M5P125_M3C100_M5C50	32.51	M3P130_M5P125_M3C100_M5C50	339.52	M3P85_M5P100_M3C100_M5C150	6.83	M3P85_M5P125_M3C100_M5C150	66.57
M3P100_M5P125_M3C100_M5C100	36.86	M3P100_M5P125_M3C100_M5C100	375.47	M3P130_M5P75_M3C100_M5C100	30.64	M3P130_M5P75_M3C100_M5C100	292.6	M3P85_M5P100_M3C100_M5C100	8.14	M3P85_M5P100_M3C100_M5C100	84.25	M3P85_M5P100_M3C100_M5C100	32.52	M3P85_M5P100_M3C100_M5C100	340.07	M3P130_M5P75_M3C100_M5C50	6.83	M3P130_M5P75_M3C100_M5C100	66.17
M3P100_M5P125_M3C100_M5C50	36.87	M3P100_M5P125_M3C100_M5C50	374.04	M3P130_M5P75_M3C100_M5C150	30.65	M3P130_M5P75_M3C100_M5C150	295.52	M3P130_M5P100_M3C100_M5C50	8.14	M3P130_M5P100_M3C100_M5C50	84.13	M3P85_M5P125_M3C100_M5C100	32.52	M3P85_M5P125_M3C100_M5C100	340.14	M3P130_M5P100_M3C100_M5C150	6.83	M3P100_M5P125_M3C100_M5C50	65.28
M3P130_M5P125_M3C100_M5C150	36.88	M3P130_M5P125_M3C100_M5C150	376.91	M3P100_M5P125_M3C100_M5C150	30.65	M3P100_M5P125_M3C100_M5C150	294.21	M3P100_M5P100_M3C100_M5C100	8.15	M3P100_M5P100_M3C100_M5C100	84.96	M3P100_M5P100_M3C100_M5C50	32.52	M3P100_M5P100_M3C100_M5C50	339.32	M3P130_M5P75_M3C50_M5C150	6.83	M3P85_M5P100_M3C100_M5C50	65.2
M3P85_M5P100_M3C100_M5C50	36.89	M3P85_M5P100_M3C100_M5C50	374.61	M3P130_M5P125_M3C100_M5C50	30.66	M3P130_M5P125_M3C100_M5C50	291.91	M3P85_M5P75_M3C100_M5C150	8.15	M3P85_M5P75_M3C100_M5C150	86.66	M3P100_M5P100_M3C100_M5C100	32.52	M3P100_M5P100_M3C100_M5C100	339.87	M3P130_M5P100_M3C100_M5C50	6.84	M3P100_M5P125_M3C100_M5C150	65.9
M3P130_M5P75_M3C100_M5C100	36.89	M3P130_M5P75_M3C100_M5C100	376.37	M3P100_M5P100_M3C100_M5C100	30.67	M3P100_M5P100_M3C100_M5C100	294.41	M3P85_M5P100_M3C100_M5C50	8.16	M3P85_M5P100_M3C100_M5C50	84.98	M3P130_M5P125_M3C100_M5C150	32.53	M3P130_M5P125_M3C100_M5C150	340.19	M3P85_M5P125_M3C100_M5C150	6.84	M3P100_M5P75_M3C100_M5C50	65.65
M3P130_M5P100_M3C100_M5C100	36.9	M3P130_M5P100_M3C100_M5C100	375.54	M3P130_M5P100_M3C100_M5C50	30.68	M3P130_M5P100_M3C100_M5C50	292.64	M3P130_M5P100_M3C100_M5C150	8.16	M3P130_M5P100_M3C100_M5C150	86.36	M3P85_M5P125_M3C100_M5C150	32.53	M3P85_M5P125_M3C100_M5C150	340.35	M3P130_M5P125_M3C100_M5C50	6.84	M3P130_M5P75_M3C50_M5C150	65.52
M3P100_M5P75_M3C100_M5C50	36.91	M3P100_M5P75_M3C100_M5C50	380.2	M3P85_M5P100_M3C100_M5C150	30.71	M3P85_M5P100_M3C100_M5C150	295.95	M3P130_M5P100_M3C100_M5C100	8.16	M3P130_M5P100_M3C100_M5C100	84.63	M3P85_M5P125_M3C150_M5C100	32.53	M3P85_M5P125_M3C150_M5C100	340.87	M3P100_M5P100_M3C50_M5C150	6.84	M3P85_M5P75_M3C100_M5C50	65.95
M3P130_M5P75_M3C100_M5C150	36.92	M3P130_M5P75_M3C100_M5C150	381.46	M3P85_M5P125_M3C100_M5C150	30.72	M3P85_M5P125_M3C100_M5C150	294.87	M3P130_M5P125_M3C100_M5C100	8.16	M3P130_M5P125_M3C100_M5C100	85.83	M3P130_M5P75_M3C100_M5C100	32.53	M3P130_M5P75_M3C100_M5C100	339.62	M3P100_M5P75_M3C100_M5C150	6.85	M3P85_M5P75_M3C100_M5C100	66.13
M3P85_M5P125_M3C100_M5C50	36.92	M3P85_M5P125_M3C100_M5C50	376.9	M3P130_M5P75_M3C100_M5C50	30.72	M3P130_M5P75_M3C100_M5C50	291.9	M3P100_M5P100_M3C100_M5C50	8.16	M3P100_M5P100_M3C100_M5C50	84.79	M3P100_M5P125_M3C100_M5C50	32.53	M3P100_M5P125_M3C100_M5C50	339.46	M3P85_M5P100_M3C100_M5C50	6.85	M3P85_M5P100_M3C50_M5C150	65.46
