Name,Type,Master,X,Y
FE_DBTC2062_net_62375,inst,INVx5_ASAP7_75t_SL,24.084,87.426
FE_DBTC2061_net_62530,inst,INVx2_ASAP7_75t_L,51.624,107.406
FE_DBTC2060_net_126163,inst,INVx6_ASAP7_75t_SL,32.994,93.366
FE_DBTC2059_FE_OFN51704_net_62566,inst,INVx1_ASAP7_75t_SL,55.62,86.346
FE_DBTC2058_net_42295,inst,INVxp67_ASAP7_75t_SL,76.356,123.606
FE_DBTC2057_FE_RN_30,inst,INVxp67_ASAP7_75t_SL,30.78,57.186
FE_DBTC2056_FE_OFN52249_net_51203,inst,INVx1_ASAP7_75t_SL,55.188,78.246
FE_DBTC2055_net_77465,inst,INVx1_ASAP7_75t_SL,32.778,42.066
FE_DBTC2054_net_42838,inst,INVxp67_ASAP7_75t_SL,78.786,120.906
FE_DBTC2053_net_41422,inst,INVxp33_ASAP7_75t_R,77.814,110.646
FE_DBTC2052_net_60970,inst,INVxp67_ASAP7_75t_SL,47.358,111.726
FE_DBTC2051_FE_RN_7443_0,inst,INVxp33_ASAP7_75t_R,88.29,99.846
FE_DBTC2050_FE_OCPN19146_n,inst,INVxp67_ASAP7_75t_SL,55.242,80.406
FE_DBTC2049_net_12951,inst,INVxp33_ASAP7_75t_R,100.98,49.086
FE_DBTC2048_FE_OFN131996_net_125798,inst,INVx1_ASAP7_75t_L,35.1,84.726
FE_DBTC2047_net_71627,inst,INVxp33_ASAP7_75t_R,88.344,98.766
FE_DBTC2046_FE_RN_8266_0,inst,INVxp67_ASAP7_75t_R,49.302,9.666
FE_DBTC2045_FE_RN_3731_0,inst,INVxp67_ASAP7_75t_SL,68.202,92.826
FE_DBTC2044_net_93572,inst,INVxp67_ASAP7_75t_SL,50.112,9.126
FE_DBTC2043_net_5092,inst,INVxp33_ASAP7_75t_R,187.272,121.446
FE_DBTC2042_net_53957,inst,INVxp33_ASAP7_75t_R,102.6,74.466
FE_DBTC2041_net_55863,inst,INVx1_ASAP7_75t_SL,142.56,74.466
FE_DBTC2040_net_62250,inst,INVx1_ASAP7_75t_R,43.578,69.066
FE_DBTC2039_FE_RN_3,inst,INVx3_ASAP7_75t_SL,42.012,96.606
FE_DBTC2038_net_78646,inst,INVxp67_ASAP7_75t_SL,38.772,48.006
FE_DBTC2037_net_54046,inst,INVxp67_ASAP7_75t_R,103.896,73.926
FE_DBTC2036_FE_RN_8364_0,inst,INVxp67_ASAP7_75t_SL,68.04,80.946
FE_DBTC2035_net_125750,inst,INVxp33_ASAP7_75t_R,59.616,103.626
FE_DBTC2034_FE_RN_7737_0,inst,INVxp67_ASAP7_75t_SL,75.222,49.086
FE_DBTC2033_net_61263,inst,INVx1_ASAP7_75t_SL,59.454,86.886
FE_DBTC2032_net_54108,inst,INVxp33_ASAP7_75t_R,143.748,65.826
FE_DBTC2031_net_54107,inst,INVxp67_ASAP7_75t_SL,144.342,65.826
FE_DBTC2030_net_48811,inst,INVx1_ASAP7_75t_SL,83.808,23.166
FE_DBTC2029_net_71167,inst,INVxp33_ASAP7_75t_R,92.88,96.066
FE_DBTC2028_net_53595,inst,INVxp67_ASAP7_75t_SL,5.778,152.766
FE_DBTC2027_FE_OCPN18394_net_62247,inst,INVx2_ASAP7_75t_SL,45.63,75.006
FE_DBTC2026_FE_RN_5132_0,inst,INVxp67_ASAP7_75t_R,26.082,50.166
FE_DBTC2025_net_66888,inst,INVx5_ASAP7_75t_SL,47.034,89.046
FE_DBTC2024_FE_RN_8017_0,inst,INVxp67_ASAP7_75t_SL,87.912,21.546
FE_DBTC2023_net_63668,inst,INVxp67_ASAP7_75t_R,42.984,66.366
FE_DBTC2022_net_60404,inst,INVxp67_ASAP7_75t_R,37.206,105.246
FE_DBTC2021_net_65185,inst,INVxp33_ASAP7_75t_R,63.18,87.966
FE_DBTC2020_net_71165,inst,INVxp67_ASAP7_75t_SL,86.454,97.686
FE_DBTC2019_net_63273,inst,INVx1_ASAP7_75t_SL,55.674,70.686
FE_DBTC2018_net_65433,inst,INVxp67_ASAP7_75t_SL,61.776,87.966
FE_DBTC2017_net_48737,inst,INVxp67_ASAP7_75t_SL,86.832,21.546
FE_DBTC2016_net_53117,inst,INVxp67_ASAP7_75t_SL,135.972,76.626
FE_DBTC2015_net_66569,inst,INVxp67_ASAP7_75t_SL,55.296,97.686
FE_DBTC2014_FE_RN_7542_0,inst,INVxp33_ASAP7_75t_R,83.484,59.346
FE_DBTC2013_FE_RN_6922_0,inst,INVxp67_ASAP7_75t_SL,68.958,103.086
FE_DBTC2012_net_62594,inst,INVx2_ASAP7_75t_SL,43.848,71.226
FE_DBTC2011_net_125807,inst,INVxp33_ASAP7_75t_R,44.928,93.906
FE_DBTC2010_net_61676,inst,INVx1_ASAP7_75t_R,51.246,112.806
FE_DBTC2009_FE_RN_7394_0,inst,INVxp67_ASAP7_75t_SL,63.612,84.726
FE_DBTC2008_FE_RN_7285_0,inst,INVxp67_ASAP7_75t_R,89.37,25.326
FE_DBTC2007_net_65123,inst,INVxp67_ASAP7_75t_SL,46.332,82.026
FE_DBTC2006_net_61114,inst,INVx2_ASAP7_75t_SL,41.418,110.106
FE_DBTC2005_net_56565,inst,INVxp67_ASAP7_75t_SL,30.672,85.806
FE_DBTC2004_net_126133,inst,INVx6_ASAP7_75t_SL,64.206,83.646
FE_DBTC2003_FE_OFN127564_net_63949,inst,INVx2_ASAP7_75t_SL,52.812,66.906
FE_DBTC2002_FE_RN_317_0,inst,INVx1_ASAP7_75t_SL,49.248,109.566
FE_DBTC2001_FE_RN_4289_0,inst,INVx1_ASAP7_75t_SL,61.344,92.826
FE_DBTC2000_net_12877,inst,INVx2_ASAP7_75t_SL,102.654,44.766
FE_DBTC1999_net_77450,inst,INVxp33_ASAP7_75t_R,27.594,47.466
FE_DBTC1998_net_61953,inst,INVxp67_ASAP7_75t_SL,55.458,114.426
FE_DBTC1997_net_62558,inst,INVx2_ASAP7_75t_SL,58.59,102.006
